symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,messageBoardId,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
0P00000TF0.F,HAM,2022-03-14 07:00:00,3600000,YOU INVEST Portfolio 50 T,1,,MUTUALFUND,YOU INVEST Portfolio 50 T,0P00000TF0.F,Europe/Berlin,CET,0P00000TF0.F,7fef3635-1931-360e-be9d-d89465c1b4a4
0P00000UJS.L,LSE,2022-03-08 08:00:00,0,JPMorgan Liquidity Funds - GBP Liquidity VNAV Fund X (acc.),1,,MUTUALFUND,JPMorgan Liquidity Funds - GBP ,0P00000UJS.L,Europe/London,GMT,0P00000UJS.L,27062374-6776-3a1b-8c2b-df1918d19cb4
0P00000V4K.F,FRA,2022-03-14 07:00:00,3600000,Tiroleffekt A,1,,MUTUALFUND,Tiroleffekt A,0P00000V4K.F,Europe/Berlin,CET,0P00000V4K.F,09e88963-f177-3ce8-8afb-9dc7a34d6f69
0P0000135M.L,LSE,2018-01-02 08:00:00,0,Schroder Sustainable UK Equity Fund Z Accumulation GBP,1,,MUTUALFUND,Schroder Sustainable UK Equity ,0P0000135M.L,Europe/London,GMT,0P0000135M.L,da3ab476-d04b-3d6c-a5e4-fbc9136920c0
0P000015QR,PNK,2022-03-14 13:30:00,-18000000,LLB Aktien Nordamerika ESG (USD) Acc,1,,MUTUALFUND,LLB Aktien Nordamerika ESG (USD,0P000015QR,America/New_York,EST,0P000015QR,0910fedb-3c7c-3d42-94e1-a0a668dbae26
0P000017AQ.F,FRA,2018-01-02 07:00:00,3600000,Bankinter Euribor Rentas IV Garantizado FI,1,,MUTUALFUND,Bankinter Euribor Rentas IV Gar,0P000017AQ.F,Europe/Berlin,CET,0P000017AQ.F,33c55d7d-edca-3895-850b-864757604330
0P000018RC.F,FRA,2018-01-02 07:00:00,3600000,Impax Environmental Markets (Ireland) Fund A EUR Acc,1,,MUTUALFUND,Impax Environmental Markets (Ir,0P000018RC.F,Europe/Berlin,CET,0P000018RC.F,168c5505-8370-3209-8cbf-b26177b01995
0P000019H0.F,FRA,2018-01-02 07:00:00,3600000,Bestinver Global PP,1,,MUTUALFUND,Bestinver Global PP,0P000019H0.F,Europe/Berlin,CET,0P000019H0.F,4349ca3e-b183-3845-a8be-b01fe5248713
0P000019KV,PNK,2022-03-14 13:30:00,-18000000,JPMorgan Funds - Greater China Fund C (acc) - USD,1,,MUTUALFUND,JPMorgan Funds - Greater China ,0P000019KV,America/New_York,EST,0P000019KV,50a99de8-9df3-3fc8-b341-b4c1a3cbe7e6
0P00001P60.F,FRA,2022-03-14 07:00:00,3600000,Robeco Sustainable European Stars Equities I EUR,1,,MUTUALFUND,Robeco Sustainable European Sta,0P00001P60.F,Europe/Berlin,CET,0P00001P60.F,a36ead62-8d57-3614-bc7a-0963e12ec3ca
0P00001PFE.L,LSE,2018-01-02 08:00:00,0,EF New Horizon Income Fund B Class Income,1,,MUTUALFUND,EF New Horizon Income Fund B Cl,0P00001PFE.L,Europe/London,GMT,0P00001PFE.L,39981319-103d-35ba-a981-6f10efe77640
