symbol,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,maxAge
22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF
IM.F,YHD,MUTUALFUND,IM.F,IM.F,,,,America/New_York,EST,,-18000000,1
0P00000FOV.F,FRA,2018-01-02 07:00:00,3600000,CM-AM Equilibre International RC,1,MUTUALFUND,CM-CIC Equilibre International ,0P00000FOV.F,Europe/Berlin,CET,0P00000FOV.F,446301ae-5d9d-38a7-ae31-2147eb70e08e
0P00000JZ8.F,,,,,1,NONE,,0P00000JZ8.F,,,0P00000JZ8.F,614def63-fdce-37ea-bb84-d9e07fb7c998
0P00000K63.F,,,,,1,NONE,,0P00000K63.F,,,0P00000K63.F,f6a48729-c93d-3536-8047-a0acf18bd103
0P00000K71.ST,,,,,1,NONE,,0P00000K71.ST,,,0P00000K71.ST,9ac82754-feaa-3f58-8290-2bf65aee74a2
0P00000KA2.F,,,,,1,NONE,,0P00000KA2.F,,,0P00000KA2.F,baa435c5-f76c-31d9-ab94-e59f1c84e6ce
0P00000OJ4.F,,,,,1,NONE,,0P00000OJ4.F,,,0P00000OJ4.F,0d997c31-e72d-3131-b43f-f6ba0aee26b5
0P00000OS8.SW,,,,,1,NONE,,0P00000OS8.SW,,,0P00000OS8.SW,c6a02ace-c530-303e-98c1-9a4e37de27ef
0P00000OWB.F,FRA,2018-01-02 07:00:00,3600000,MEAG EuroInvest A,1,MUTUALFUND,MEAG EuroInvest A,0P00000OWB.F,Europe/Berlin,CET,0P00000OWB.F,5f4b2462-0785-3934-92fe-2cdaef91a799
0P00000PIX.F,FRA,2018-01-02 07:00:00,3600000,Bankinter Renta Fija Coral Garantizado FI,1,MUTUALFUND,Bankinter Renta Fija Coral Gara,0P00000PIX.F,Europe/Berlin,CET,0P00000PIX.F,7917f609-53c8-32fc-9856-4af4d3c8c27c
0P00000QCA.F,FRA,2018-01-02 07:00:00,3600000,AXA Or et Matières Premières D,1,MUTUALFUND,,0P00000QCA.F,Europe/Berlin,CET,0P00000QCA.F,cb1d99d4-cc32-356c-a605-c7284b8c7d6c
0P00000QGX.F,FRA,2018-01-02 07:00:00,3600000,Groupama Evolution Tranquillité,1,MUTUALFUND,Groupama Evolution Tranquillit,0P00000QGX.F,Europe/Berlin,CET,0P00000QGX.F,a152177c-6c2c-3884-a3fc-f72eb06ddd66
0P00000QM9.F,FRA,2018-01-02 07:00:00,3600000,Stratégie Indice Allemagne,1,MUTUALFUND,Stratégie Allemagne ISR,0P00000QM9.F,Europe/Berlin,CET,0P00000QM9.F,8c5a3d60-52a6-3e35-b8b2-27f30eb0335c
0P00000QWT.L,LSE,2018-01-02 08:00:00,0,Baillie Gifford Global Discovery Fund B Income,1,MUTUALFUND,Baillie Gifford Global Discover,0P00000QWT.L,Europe/London,GMT,0P00000QWT.L,2f6b0230-ffb2-3939-b5f8-b0db3b87a411
0P00000RA9.L,LSE,2018-01-02 08:00:00,0,Scottish Widows Cash Fund A Acc,1,MUTUALFUND,Scottish Widows Cash Fund A Acc,0P00000RA9.L,Europe/London,GMT,0P00000RA9.L,6abe63e8-d5a9-335d-b986-5c8af5b10c16
0P00000S0M.F,,,,,1,NONE,,0P00000S0M.F,,,0P00000S0M.F,2fd1a82e-b6b3-3236-b9a5-30798ca97a41
0P00000S34,,,,,1,NONE,,0P00000S34,,,0P00000S34,321f2f20-3e4b-3e09-8d57-b387b3563f5b
0P00000SME,,,,,1,NONE,,0P00000SME,,,0P00000SME,394453f4-3dda-39e8-b9bb-224d58f1a5d0
0P00000SW5.F,,,,,1,NONE,,0P00000SW5.F,,,0P00000SW5.F,76e7b1d8-dd91-3af1-8054-049199ea29a9
0P00000THH,,,,,1,NONE,,0P00000THH,,,0P00000THH,8b800e5f-41da-3894-9895-0baf82db0607
0P00000V3N.F,FRA,2018-01-02 07:00:00,3600000,Hévéa Défensif C,1,MUTUALFUND,Hévéa Défensif C,0P00000V3N.F,Europe/Berlin,CET,0P00000V3N.F,0cf96489-d285-3ee5-8010-a96d54b84f21
0P00000W2I.F,FRA,2018-01-02 07:00:00,3600000,NB Bolsa Plus PP,1,MUTUALFUND,NB Bolsa Plus PP,0P00000W2I.F,Europe/Berlin,CET,0P00000W2I.F,75bb756b-c574-32ca-a135-6440f3f7db29
